A <00:04:29> World Server Disconnected! Server Will Terminate...
B <00:11:10> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:11:19> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:11:20> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:11:29> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:11:30> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:11:39> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:11:40> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:11:49> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:11:50> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:11:59> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:12:00> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:12:09> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:12:10> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:12:19> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:12:20> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:12:29> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:12:30> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:12:39> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:12:40> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:12:49> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:12:50> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:12:59> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:13:00> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:13:09> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:13:10> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:13:19> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:13:20> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:13:29> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:13:30> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:13:39> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
B <00:13:40> Fail To Connect WorldServer! (IP:192.168.1.98, Port:17201)
C <00:13:49> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
A <00:17:03> World Server Disconnected! Server Will Terminate...
C <00:17:13> Try to reconnect WorldServer! (IP:192.168.1.98, Port:17201)
