C <14:51:14> ########### CorumZero Online - Dungeon Server Started! ###########
B <14:52:05> Couldn't calculate guardian level.
B <14:52:21> Couldn't calculate guardian level.
B <14:53:01> Couldn't calculate guardian level.
A <14:55:14> World Server Disconnected! Server Will Terminate...
C <14:56:52> ########### CorumZero Online - Dungeon Server Started! ###########
B <15:28:42> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <15:28:51> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <15:28:53> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <15:29:01> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <15:29:02> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <15:29:11> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <15:29:13> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <15:29:21> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <15:29:22> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <15:29:31> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <15:29:32> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <15:29:41> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <15:29:42> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <15:29:51> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <15:29:52> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <15:30:01> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <15:30:02> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <15:30:11> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <15:30:13> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <15:30:21> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <15:30:22> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <15:30:31> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <15:30:32> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <15:30:41> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <15:30:43> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <15:30:51> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <15:30:52> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <15:31:01> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <15:31:02> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <15:31:11> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <15:31:12> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <15:31:21> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <15:31:23> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <15:31:31> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <15:31:32> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <15:31:41> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <15:31:42> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <15:31:51> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <15:31:53> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <15:32:01> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <15:32:03> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <15:32:11> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <15:32:12> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <15:32:21> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <15:32:22> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <15:32:31> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <15:32:33> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <15:32:41> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
B <15:32:43> Fail To Connect WorldServer! (IP:192.168.1.88, Port:17201)
C <15:32:51> Try to reconnect WorldServer! (IP:192.168.1.88, Port:17201)
A <15:40:00> World Server Disconnected! Server Will Terminate...
