C <00:06:44> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:06:45> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:06:54> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:06:55> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:07:04> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:07:05> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:07:14> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:07:15> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:07:24> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:07:25> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:07:34> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:07:35> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:07:44> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:07:45> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:07:54> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:07:55> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:08:04> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:08:06> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:08:14> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:08:15> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:08:24> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:08:25> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:08:34> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:08:35> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:08:44> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:08:45> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:08:54> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:08:56> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:09:04> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:09:05> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:09:14> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:09:15> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:09:24> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:09:25> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:09:34> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:09:35> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:09:44> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:10:35> pResult->Query.select.pResult == NULL
C <00:11:42> pResult->Query.select.pResult == NULL
A <00:16:09> World Server Disconnected! Server Will Terminate...
