C <23:26:37> ########### CorumZero Online - Village Server Started! ###########
A <23:40:24> World Server Disconnected! Server Will Terminate...
C <23:47:04> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:47:05> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:47:14> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:47:15> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:47:24> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:47:25> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:47:34> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:47:35> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:47:44> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:47:45> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:47:54> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:47:55> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:48:04> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:48:05> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:48:14> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:48:15> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:48:24> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:48:25> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:48:34> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:48:35> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:48:44> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:48:45> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:48:54> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:48:55> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:49:04> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:49:05> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:49:14> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:49:15> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:49:24> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:49:25> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:49:34> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:49:35> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:49:44> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:49:45> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:49:54> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:49:55> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:50:04> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:50:05> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:50:14> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:50:15> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:50:24> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:50:25> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:50:34> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:50:35> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:50:44> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:50:45> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:50:54> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:50:55> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:51:04> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:51:05> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:51:14> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:51:15> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:51:24> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:51:25> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:51:34> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:51:35> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:51:44> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:51:45> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:51:54> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:51:55> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:52:04> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:52:05> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:52:14> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:52:15> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:52:24> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:52:26> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:52:34> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:52:35> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:52:44> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:52:45> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:52:54> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:52:55> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:53:04> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:53:05> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:53:14> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:53:15> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:53:24> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:53:25> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:53:34> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:53:35> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:53:44> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:53:45> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:53:54> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:53:55> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:54:04> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:54:05> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:54:14> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:54:15> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:54:24> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:54:25> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:54:34> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:54:35> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:54:44> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:54:45> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:54:54> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:54:55> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:55:04> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:55:05> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:55:14> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:55:15> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:55:24> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:55:25> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:55:34> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:55:35> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:55:44> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:55:45> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:55:54> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:55:55> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:56:04> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:56:05> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:56:14> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:56:15> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:56:24> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:56:25> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:56:34> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:56:36> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:56:44> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:56:45> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:56:54> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:56:55> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:57:04> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:57:05> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:57:14> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:57:15> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:57:24> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:57:25> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:57:34> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:57:35> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:57:44> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:57:45> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:57:54> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:57:55> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:58:04> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:58:05> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:58:14> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:58:15> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:58:24> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:58:25> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:58:34> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:58:35> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:58:44> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:58:45> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:58:54> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:58:55> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:59:04> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:59:05> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:59:14> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:59:15> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:59:24> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:59:25> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:59:34> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:59:35> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:59:44> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:59:45> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <23:59:54> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <23:59:55> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
