C <13:45:09> ########### CorumZero Online - Village Server Started! ###########
A <14:45:03> World Server Disconnected! Server Will Terminate...
C <14:45:14> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <14:45:15> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <14:45:24> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <14:45:25> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <14:45:34> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <14:45:35> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <14:45:44> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <14:45:44> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <14:45:54> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <14:45:55> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <14:46:04> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <14:46:05> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <14:46:14> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <14:46:15> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <14:46:24> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <14:46:25> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <14:46:34> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <14:46:35> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <14:46:44> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <14:46:45> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <14:46:54> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <14:46:55> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <14:47:04> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <14:47:05> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <14:47:14> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <14:47:15> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <14:47:24> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <14:47:25> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <14:47:34> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <14:47:35> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <14:47:44> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <14:47:44> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <14:47:54> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <14:47:55> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <14:48:04> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <14:48:05> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <14:48:14> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <14:48:15> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <14:48:24> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <14:48:25> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <14:48:34> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <14:48:35> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <14:48:44> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <14:48:45> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <14:48:54> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <14:48:55> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <14:49:04> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <14:49:05> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <14:49:14> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <14:49:15> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <14:49:24> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <14:49:25> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <14:49:34> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <14:49:35> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <14:49:44> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <14:49:44> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <14:49:54> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <14:49:55> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <14:50:04> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <14:50:05> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <14:50:14> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <14:50:15> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <14:50:24> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <14:50:25> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <14:50:34> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <14:50:35> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <14:50:44> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <14:50:45> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <14:50:54> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <14:50:55> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <14:51:04> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
