C <13:30:58> Fail to CreateNetwork!
C <13:34:38> ########### CorumZero Online - Village Server Started! ###########
C <13:34:41> @ Can Not Listen For Userside! IP="222.106.120.39", Port=16006
C <15:50:57> Try to reconnect WorldServer! (IP:222.106.120.46, Port:17201)
B <15:50:58> Fail To Connect WorldServer! (IP:222.106.120.46, Port:17201)
C <15:51:07> Try to reconnect WorldServer! (IP:222.106.120.46, Port:17201)
B <15:51:08> Fail To Connect WorldServer! (IP:222.106.120.46, Port:17201)
C <15:51:17> Try to reconnect WorldServer! (IP:222.106.120.46, Port:17201)
B <15:51:18> Fail To Connect WorldServer! (IP:222.106.120.46, Port:17201)
C <15:51:27> Try to reconnect WorldServer! (IP:222.106.120.46, Port:17201)
B <15:51:28> Fail To Connect WorldServer! (IP:222.106.120.46, Port:17201)
C <15:51:37> Try to reconnect WorldServer! (IP:222.106.120.46, Port:17201)
B <15:51:38> Fail To Connect WorldServer! (IP:222.106.120.46, Port:17201)
C <15:51:47> Try to reconnect WorldServer! (IP:222.106.120.46, Port:17201)
B <15:51:48> Fail To Connect WorldServer! (IP:222.106.120.46, Port:17201)
C <15:51:57> Try to reconnect WorldServer! (IP:222.106.120.46, Port:17201)
B <15:51:58> Fail To Connect WorldServer! (IP:222.106.120.46, Port:17201)
C <15:52:07> Try to reconnect WorldServer! (IP:222.106.120.46, Port:17201)
B <15:52:08> Fail To Connect WorldServer! (IP:222.106.120.46, Port:17201)
C <15:52:17> Try to reconnect WorldServer! (IP:222.106.120.46, Port:17201)
B <15:52:18> Fail To Connect WorldServer! (IP:222.106.120.46, Port:17201)
C <15:52:27> Try to reconnect WorldServer! (IP:222.106.120.46, Port:17201)
B <15:52:28> Fail To Connect WorldServer! (IP:222.106.120.46, Port:17201)
C <15:52:37> Try to reconnect WorldServer! (IP:222.106.120.46, Port:17201)
B <15:52:38> Fail To Connect WorldServer! (IP:222.106.120.46, Port:17201)
C <15:52:47> Try to reconnect WorldServer! (IP:222.106.120.46, Port:17201)
B <15:52:48> Fail To Connect WorldServer! (IP:222.106.120.46, Port:17201)
C <15:52:57> Try to reconnect WorldServer! (IP:222.106.120.46, Port:17201)
B <15:52:58> Fail To Connect WorldServer! (IP:222.106.120.46, Port:17201)
C <15:53:07> Try to reconnect WorldServer! (IP:222.106.120.46, Port:17201)
B <15:53:08> Fail To Connect WorldServer! (IP:222.106.120.46, Port:17201)
C <15:53:17> Try to reconnect WorldServer! (IP:222.106.120.46, Port:17201)
B <15:53:18> Fail To Connect WorldServer! (IP:222.106.120.46, Port:17201)
C <15:53:27> Try to reconnect WorldServer! (IP:222.106.120.46, Port:17201)
B <15:53:28> Fail To Connect WorldServer! (IP:222.106.120.46, Port:17201)
C <15:53:37> Try to reconnect WorldServer! (IP:222.106.120.46, Port:17201)
B <15:53:38> Fail To Connect WorldServer! (IP:222.106.120.46, Port:17201)
C <15:53:47> Try to reconnect WorldServer! (IP:222.106.120.46, Port:17201)
B <15:53:48> Fail To Connect WorldServer! (IP:222.106.120.46, Port:17201)
C <15:53:57> Try to reconnect WorldServer! (IP:222.106.120.46, Port:17201)
B <15:53:58> Fail To Connect WorldServer! (IP:222.106.120.46, Port:17201)
C <15:54:07> Try to reconnect WorldServer! (IP:222.106.120.46, Port:17201)
B <15:54:08> Fail To Connect WorldServer! (IP:222.106.120.46, Port:17201)
C <15:54:17> Try to reconnect WorldServer! (IP:222.106.120.46, Port:17201)
B <15:54:18> Fail To Connect WorldServer! (IP:222.106.120.46, Port:17201)
C <15:54:27> Try to reconnect WorldServer! (IP:222.106.120.46, Port:17201)
