### Packet Size Reporting Start!!! ###

### Login Agent to Client ### 
@@ Max Packet is CTDS_DUNGEON_CHAT [259]


### Client to World Server ### 
[ SIZE :    22 ] CTWS_CHARACTER_SEARCH
[ SIZE :     3 ] CTWS_CHARACTER_SELECT
[ SIZE :    22 ] CTWS_CHAT_MESSAGERQ
[ SIZE :     2 ] CTWS_CHECK_GM
[ SIZE :     2 ] CTWS_CHECK_MONITORING
[ SIZE :     6 ] CTWS_COMMAND_MSG
[ SIZE :    28 ] CTWS_CREATE_NEW_CHARACTER
[ SIZE :    30 ] CTWS_DELETE_CHARACTER
[ SIZE :   303 ] CTWS_DGCHAT_USER
[ SIZE :   283 ] CTWS_DSCHAT_COMMAND
[ SIZE :     6 ] CTWS_FRIENDUSER_DELETE
[ SIZE :     6 ] CTWS_FRIENDUSER_INFO
[ SIZE :    44 ] CTWS_GM_COMMAND
[ SIZE :  1028 ] CTWS_GM_NOTICE
[ SIZE :     3 ] CTWS_GO_TO_WORLD_SUCCESS
[ SIZE :    47 ] CTWS_GUILDJOIN_MESSAGE
[ SIZE :     6 ] CTWS_GUILDUSER_INFO
[ SIZE :    14 ] CTWS_GUILDWAR_CREATE
[ SIZE :    27 ] CTWS_GUILDWAR_ERRROR
[ SIZE :    10 ] CTWS_GUILDWAR_EXIT
[ SIZE :     6 ] CTWS_GUILDWAR_RANK
[ SIZE :    14 ] CTWS_GUILDWAR_REQUEST
[ SIZE :    14 ] CTWS_GUILDWAR_REQUESTRT
[ SIZE :    29 ] CTWS_GUILD_CREATE
[ SIZE :     6 ] CTWS_GUILD_DATA_REQUEST
[ SIZE :    26 ] CTWS_GUILD_DELETE
[ SIZE :    48 ] CTWS_GUILD_INFO
[ SIZE :    57 ] CTWS_GUILD_JOIN
[ SIZE :   102 ] CTWS_GUILD_RANK
[ SIZE :    14 ] CTWS_GUILD_REQUEST
[ SIZE :    31 ] CTWS_GUILD_USERDEL
[ SIZE :     7 ] CTWS_GUILD_USERREQUEST_FAIL
[ SIZE :     6 ] CTWS_KICK_USER
[ SIZE :     3 ] CTWS_LOADING_STATUS
[ SIZE :    51 ] CTWS_LOGIN
[ SIZE :    27 ] CTWS_MESSENGER_ANSWER
[ SIZE :     7 ] CTWS_MESSENGER_STATUS
[ SIZE :    26 ] CTWS_MESSENGER_USERADD
[ SIZE :  2100 ] CTWS_NETMARBLE_LOGIN
[ SIZE :    33 ] CTWS_NEW_GM_COMMAND
[ SIZE :    11 ] CTWS_PARTYUSER_WORLDINFO
[ SIZE :    26 ] CTWS_PARTY_APPROVE
[ SIZE :     6 ] CTWS_PARTY_BOARDDELETE
[ SIZE :    42 ] CTWS_PARTY_ENTRY
[ SIZE :    26 ] CTWS_PARTY_INFO
[ SIZE :     6 ] CTWS_PARTY_INFOREQUEST
[ SIZE :    27 ] CTWS_PARTY_JOIN
[ SIZE :     6 ] CTWS_PARTY_LOGOUT
[ SIZE :    10 ] CTWS_PARTY_LOGOUTRT
[ SIZE :     6 ] CTWS_PARTY_SET
[ SIZE :    14 ] CTWS_PARTY_USERREQUEST
[ SIZE :     7 ] CTWS_PARTY_USERREQUEST_FAIL
[ SIZE :     3 ] CTWS_QUERY_EVENT_DUNGEON_INFO
[ SIZE :     4 ] CTWS_REFRESH_RECENT_DUNGEON
[ SIZE :     4 ] CTWS_REQUEST_DUNGEON_INFO
[ SIZE :     2 ] CTWS_REQUEST_OWN_DUNGEON_INFO
[ SIZE :    34 ] CTWS_SKILL_KEY
[ SIZE :     6 ] CTWS_TIMER_ACK
[ SIZE :     2 ] CTWS_TIMER_READY
[ SIZE :     4 ] CTWS_TRY_TO_JOIN_DUNGEON
[ SIZE :    10 ] CTWS_USER_GUILDMASTER
[ SIZE :    15 ] CTWS_WORLD_LOGIN

@@ Max Packet is CTWS_NETMARBLE_LOGIN [2100]


### Dungeon Server to Client ### 
[ SIZE :     6 ] DSTC_ACCENTRANCE_ACQUISITION
[ SIZE :    21 ] DSTC_APEAR_SKILL
[ SIZE :    97 ] DSTC_APPEAR
[ SIZE :    52 ] DSTC_APPEAR_ITEM
[ SIZE :   110 ] DSTC_APPEAR_MON
[ SIZE :    54 ] DSTC_APPENDIX_GUARDIAN_INFO
[ SIZE :    10 ] DSTC_ARMOR_ITEM
[ SIZE :     7 ] DSTC_ATTACK_MODE
[ SIZE :    36 ] DSTC_ATTACK_MON_MON
[ SIZE :    28 ] DSTC_ATTACK_MON_USER
[ SIZE :    38 ] DSTC_ATTACK_USER_MON
[ SIZE :    42 ] DSTC_ATTACK_USER_USER
[ SIZE :     7 ] DSTC_BADACTION
[ SIZE :  5461 ] DSTC_BANK_INFO
[ SIZE :    60 ] DSTC_CHANGE_LAYER
[ SIZE :  2046 ] DSTC_CHANGE_SECTION
[ SIZE :     7 ] DSTC_CONGESTION_MODE
[ SIZE :    10 ] DSTC_COPY_ITEM_INSERTED
[ SIZE :     6 ] DSTC_DESTROY_CP
[ SIZE :     6 ] DSTC_DISAPPEAR
[ SIZE :    10 ] DSTC_DISAPPEAR_ITEM
[ SIZE :     6 ] DSTC_DISAPPEAR_MON
[ SIZE :    20 ] DSTC_DUNGEON_CASTING
[ SIZE :     7 ] DSTC_DUNGEON_CASTING_FAIL
[ SIZE :     6 ] DSTC_DUNGEON_CHANGE_LRSKILLKIND
[ SIZE :   263 ] DSTC_DUNGEON_CHAT
[ SIZE :     7 ] DSTC_DUNGEON_EMOTICON
[ SIZE :     6 ] DSTC_DUNGEON_ERROR_CODE
[ SIZE :     3 ] DSTC_DUNGEON_JOIN_FAILED
[ SIZE :  1033 ] DSTC_DUNGEON_MESSAGE
[ SIZE :  1028 ] DSTC_DUNGEON_NOTICE
[ SIZE :     3 ] DSTC_DUNGEON_PKMODE
[ SIZE :     7 ] DSTC_DUNGEON_REPLY_MATCH_MAN2MAN
[ SIZE :     6 ] DSTC_DUNGEON_REQUEST_MATCH_MAN2MAN
