### Packet Size Reporting Start!!! ###

### Login Agent to Client ### 
[ SIZE :     6 ] WSTC_PARTY_USER_TRY_TO_CONNECT
[ SIZE :     4 ] WSTC_RANK_FAIL
[ SIZE :     5 ] WSTC_REFRESHEVENT_DEFENSECOUNT
[ SIZE :     8 ] WSTC_REFRESHEVENT_DUNGEON_ACCENTRANCE_ACQUISITION
[ SIZE :     8 ] WSTC_REFRESHEVENT_DUNGEON_ACCEXP_ACQUISITION
[ SIZE :    52 ] WSTC_REFRESHEVENT_DUNGEON_CHANGE_OWNER
[ SIZE :    28 ] WSTC_REFRESHEVENT_DUNGEON_CHANGE_OWNER_GUILD
[ SIZE :     7 ] WSTC_REFRESHEVENT_DUNGEON_CREATEPRODUCTION
[ SIZE :     9 ] WSTC_REFRESHEVENT_DUNGEON_ENDSIEGE
[ SIZE :     8 ] WSTC_REFRESHEVENT_DUNGEON_ENTRANCE_EDIT
[ SIZE :    44 ] WSTC_REFRESHEVENT_DUNGEON_GUARDIANITEM
[ SIZE :     8 ] WSTC_REFRESHEVENT_DUNGEON_LEVELUP
[ SIZE :    44 ] WSTC_REFRESHEVENT_DUNGEON_MAGICFIELDARRAY
[ SIZE :     5 ] WSTC_REFRESHEVENT_DUNGEON_OPERATIONMODE
[ SIZE :     8 ] WSTC_REFRESHEVENT_DUNGEON_STARTSIEGE
[ SIZE :   266 ] WSTC_REPLY_DUNGEON_INFO
[ SIZE :    30 ] WSTC_SEARCH
[ SIZE :    34 ] WSTC_SKILL_KEY
[ SIZE :     4 ] WSTC_TIMER_SYNC
[ SIZE :    35 ] WSTC_USER_DELETE
[ SIZE :    52 ] WSTC_USER_GUILDMASTER
[ SIZE :    39 ] WSTC_USER_MASTER
[ SIZE :   258 ] WSTC_WARNING_TITLE
[ SIZE :    26 ] WSTC_WORLD_APPEAR
[ SIZE :     6 ] WSTC_WORLD_DISAPPEAR
[ SIZE :     3 ] WSTC_WORLD_LOGIN_FAIL
[ SIZE :   195 ] WSTC_WORLD_PARTY_USER_INFO
[ SIZE :   980 ] WSTC_WORLD_USER_INFO
[ SIZE :    30 ] WSTC_WSF_CHAT
[ SIZE :   538 ] WSTC_WS_CHAT

@@ Max Packet is WSTC_WORLD_USER_INFO [980]


### World Server to Dungeon Server ### 
[ SIZE :    10 ] WSTDS_ADD_USER_ACCEPT_ALLOWED
[ SIZE :     6 ] WSTDS_CB_LEVELCHK
[ SIZE :    30 ] WSTDS_CHARACTER_SEARCH
[ SIZE :    31 ] WSTDS_CHECK_DUNGEONJOIN_RT
[ SIZE :  1033 ] WSTDS_DUNGEON_MESSAGE
[ SIZE :     4 ] WSTDS_EVENT_DUNGEON_CLOSE
[ SIZE :    37 ] WSTDS_EVENT_DUNGEON_CLOSE_INFO
[ SIZE :    36 ] WSTDS_EVENT_DUNGEON_FIRST_TIMEOUT
[ SIZE :     8 ] WSTDS_EVENT_DUNGEON_INIT
[ SIZE :    41 ] WSTDS_EVENT_DUNGEON_OPEN_INFO
[ SIZE :     5 ] WSTDS_EVENT_DUNGEON_SET
[ SIZE :     6 ] WSTDS_EVENT_JOINUSER_COUNT
[ SIZE :    10 ] WSTDS_FRIENDUSER_INFO
[ SIZE :     2 ] WSTDS_GM_COMMAND
[ SIZE :    31 ] WSTDS_GUILDINFO_MSG
[ SIZE :    10 ] WSTDS_GUILDUSER_INFO
[ SIZE :    12 ] WSTDS_GUILDUSER_RANK
[ SIZE :    10 ] WSTDS_GUILDWAR_DELETE
[ SIZE :    45 ] WSTDS_GUILDWAR_MESSAGE
[ SIZE :    11 ] WSTDS_GUILD_ALLPORTAL
[ SIZE :     7 ] WSTDS_GUILD_FAIL
[ SIZE :    52 ] WSTDS_GUILD_INFO
[ SIZE :    14 ] WSTDS_GUILD_LEVEL
[ SIZE :    10 ] WSTDS_GUILD_LIST
[ SIZE :     6 ] WSTDS_GUILD_MSG
[ SIZE :    27 ] WSTDS_GUILD_PORTALFAIL
[ SIZE :    37 ] WSTDS_GUILD_PORTALUSED
[ SIZE :     6 ] WSTDS_GUILD_RANK
[ SIZE :     6 ] WSTDS_KICK_USER
[ SIZE :  1028 ] WSTDS_NOTICE_ACTION
[ SIZE :    11 ] WSTDS_PARTY_ALLPORTAL
[ SIZE :     8 ] WSTDS_PARTY_BOARD
[ SIZE :    14 ] WSTDS_PARTY_HP
[ SIZE :    30 ] WSTDS_PARTY_INFO
[ SIZE :     7 ] WSTDS_PARTY_LEADER
[ SIZE :    14 ] WSTDS_PARTY_LEVEL
[ SIZE :    10 ] WSTDS_PARTY_MSG
[ SIZE :    35 ] WSTDS_PARTY_PORTAL
[ SIZE :    27 ] WSTDS_PARTY_PORTALFAIL
[ SIZE :    25 ] WSTDS_PARTY_PORTALMOVE
[ SIZE :    37 ] WSTDS_PARTY_PORTALUSED
[ SIZE :     8 ] WSTDS_REFRESH_DUNGEON_OWNER_GUILD
[ SIZE :     9 ] WSTDS_REMOVE_USER_ACCEPT_ALLOWED
[ SIZE :     4 ] WSTDS_REQUEST_DUNGEON_ALIVE
[ SIZE :    31 ] WSTDS_SEARCH
[ SIZE :     3 ] WSTDS_SET_DOUBLE_EXP
[ SIZE :     4 ] WSTDS_SET_EXPGAIN
[ SIZE :     4 ] WSTDS_SET_MAGICITEM_DROPRATE
[ SIZE :     4 ] WSTDS_SET_PARTY_BONUS_EXPGAIN
[ SIZE :    18 ] WSTDS_USER_PORTAL
[ SIZE :    18 ] WSTDS_USER_PORTAL

@@ Max Packet is WSTDS_DUNGEON_MESSAGE [1033]


### World Server Server Packet ### 
[ SIZE :     7 ] WSTS_DUNGEON_INFO
[ SIZE :     4 ] WSTS_DUNGEON_LEVELUP
[ SIZE :     4 ] WSTS_END_SIEGE
[ SIZE :     6 ] WSTS_FRIENDUSER_DELETE
[ SIZE :     2 ] WSTS_REFRESH_ALL_DUNGEON_SERVER_DATA
[ SIZE :    15 ] WSTS_SERVER_ATTACH_RESULT
[ SIZE :     2 ] WSTS_SERVER_TERMINATE
[ SIZE :     4 ] WSTS_START_SIEGE

@@ Max Packet is WSTS_SERVER_ATTACH_RESULT [15]


### No packet, just Struct ### 
[ SIZE :     4 ] _CP_INFO_
[ SIZE :     2 ] ECHO_KEEP_ALIVE
[ SIZE :    41 ] ITEM_NODE_FOR_MSG
[ SIZE :     6 ] ITEM_NODE_FOR_MSG_NATIVE
[ SIZE :    45 ] PLAYERSHOPINFO_NODE
[ SIZE :    19 ] PORTAL_BUCKET
[ SIZE :    82 ] RS_CharacterLogInfo
[ SIZE :    14 ] TARGETINFO
[ SIZE :    12 ] USER_STATUS
[ SIZE :    24 ] WORLD_PARTY_APPEAR_INFO

Max Struct is is RS_CharacterLogInfo [82]

Reporting is Finished!!!
